,VN102_RD,VN102_C1,VN102_C2,VN102_C3,VN102_C4,VN102_C5
10.363,5.961735895057078,7.493229153211587,5.933140417368083,4.409782444400177,14.730378387467843,13.154640545479607
10.383,6.013815460734329,7.501150096739859,6.009958031074936,4.467907699681006,15.00263062745302,13.18180392468494
10.403,6.067208689429332,7.509097358633864,6.0852908027617945,4.526926695999384,15.266708685970302,13.196257186801807
10.423,6.120930333878811,7.517748484568298,6.154761053474514,4.587070603697461,15.513590085554496,13.211197933600952
10.443,6.174861406989815,7.52643665597875,6.222277130529129,4.647964452315381,15.749007045840388,13.227044009095739
10.463,6.228844837264672,7.535216981716683,6.282625492000346,4.709661281275557,15.962582994846406,13.244129368183952
10.483,6.282319044677023,7.544002157682387,6.340584614943692,4.771893430463936,16.16159826966639,13.263516253945635
10.503,6.335665946373751,7.551593148263255,6.390551927603651,4.834487857699256,16.334949311141887,13.28534202260299
10.523,6.388224895648101,7.55912128698178,6.437855303503476,4.897323803633979,16.491190863721712,13.311697145209376
10.543,6.440586856816862,7.563749205078574,6.477052238340699,4.960003798396812,16.602930915115767,13.341753818618209
10.563,6.4922988933798935,7.568224479984792,6.513547026157659,5.022579825712676,16.602930915115767,13.378684800660055
10.583,6.543848448791498,7.567961812294682,6.5424649735357745,5.084467285125022,16.67406031452923,13.420212510391515
10.603,6.595260114011037,7.56744977920483,6.579820094931754,5.145895699268375,16.778714150800372,13.525182815063609
10.623,6.6466373066825595,7.560527024788146,6.59727891102342,5.2061214913601646,16.840383906242277,13.589079662560538
10.643,6.698684275168562,7.553266863985767,6.612794189404747,5.265545535417533,16.89752221273079,13.657365689944733
10.663,6.750898687608179,7.538394663139488,6.6224788546552364,5.323242116867879,16.91387747862744,13.733803051407708
10.683,6.8047260016601925,7.523121828606602,6.630418811371233,5.379787056580145,16.92625213506741,13.813587708717737
10.703,6.858956541115294,7.499764090256715,6.63312464248391,5.434021859235025,16.902801306386774,13.899588772604002
10.723,6.915685249037045,7.475980830653209,6.634160044548811,5.486716570518226,16.876122834349566,13.987428387371123
10.743,6.97303849907553,7.44444986281634,6.63078054223222,5.536484847455471,16.82039557209771,14.078682453774071
10.763,7.033591488858579,7.412511120861837,6.630184159470538,5.584302168161967,16.762239017890266,14.169905176522985
10.783,7.09494441357786,7.3738134243532345,6.6245189241018485,5.6286776748254805,16.734231954257094,14.261069689628693
10.803,7.159980774076865,7.334759993394339,6.6137856378624305,5.670758638793542,16.722228926987036,14.350094276231209
10.823,7.225937993520905,7.290259257761846,6.6013270133088335,5.7091685464211865,16.642208745178763,14.435144713613571
10.843,7.295843112302189,7.245471821883313,6.583692373812861,5.745131083155081,16.55165510984422,14.504953908092963
10.863,7.366735205917897,7.196526921208366,6.5643444681303365,5.777594030505921,16.454079172158433,14.552164741182517
10.883,7.44152540164035,7.147363206596719,6.539856763888314,5.807723918267926,16.34843232390341,14.624796792089905
10.903,7.5172901228896,7.095058222905329,6.513723288550711,5.860058791701303,16.23740486860192,14.681661355805065
10.923,7.596281169062942,7.0425879092623385,6.482652499926516,5.88294094948691,16.1187665588025,14.735743421781475
10.943,7.676078796469213,6.987556411314949,6.450012407790267,5.904293329825955,15.995054346004165,14.769433659774291
10.963,7.757376824823259,6.932390114194935,6.412664405118005,5.923880487590457,15.862292762669044,14.799525339888282
10.983,7.839049953414692,6.874714654632018,6.373772243268253,5.942290830305196,15.723498265639234,14.805595816236098
11.003,7.919179654402137,6.81690713388793,6.3302476038861695,5.95905272137777,15.572940572426216,14.807427256625667
11.023,7.998923498488595,6.756113193495244,6.28511705111042,5.974715644688244,15.414540748422583,14.782861680276573
11.043,8.072890001778116,6.695162073121094,6.235168758153821,5.988304560074672,15.241342968127292,14.75363780685649
11.062999999999999,8.145412169868447,6.630310456869698,6.183475241097526,6.000510803511789,15.058279883637935,14.696987939301282
11.082999999999998,8.20726315092262,6.56525355136166,6.126546051742305,6.009705434024456,14.857995728612684,14.635498190428672
11.103000000000002,8.266446335217827,6.49511876640022,6.067706410644918,6.019769079480429,14.64623085989727,14.546887736546333
11.123000000000001,8.310221693966533,6.424716724625387,6.003135414321212,6.0197890941583205,14.173613917001232,14.453491275898127
11.143,8.350145096328722,6.348035588493261,5.936528317220333,6.018859281216008,13.776789392184133,14.334546160112014
11.163,8.370984867119901,6.271023973710679,5.863812917788118,6.0093810196894735,13.501490005493693,14.211092458124813
11.183,8.387053730018463,6.18676728472583,5.789026491543627,5.9987440665606,13.201787941958761,14.139963862436874
11.203,8.382132039074332,6.102129276046044,5.708026984862496,5.977678889007775,12.89988223022448,13.989648032755834
11.222999999999999,8.37196270966893,6.009722703102768,5.625045671215092,5.955308011847266,12.417274412036969,13.831431928317054
11.242999999999999,8.340937010250519,5.916907258356063,5.53611893666905,5.921185838213567,12.086137576166017,13.658543885042688
11.263000000000002,8.304697218328261,5.8163429971490475,5.397459165864203,5.885700921168844,11.748735213354594,13.479499032172642
11.283000000000001,8.249554809609888,5.715370903496664,5.30150620600529,5.837951313417615,11.232993915927985,13.28902010433936
11.303,8.114113891968547,5.607209643191898,5.201300439256371,5.788885455035903,10.8866432756896,13.094189422776028
11.323,8.034614839293328,5.4986700056948195,5.099677070210739,5.727973340979556,10.538612483018472,12.891276912857013
11.343,7.943170543801129,5.383971081596896,4.9950088983196625,5.665890706693989,10.191056216060286,12.685718997637895
11.363,7.848739937604345,5.268947984519911,4.889325792146741,5.593273390345167,9.847770680518707,12.475248186861522
11.383,7.7461205533402415,5.149170067914653,4.781823966359102,5.519707397035193,9.173220155514286,12.263634970094898
11.402999999999999,7.641453974559075,5.029141897649959,4.673715900699874,5.437603311074629,8.842513724256545,11.943032728260313
11.422999999999998,7.531991216731647,4.90606925444752,4.564881336979402,5.354810696772955,8.526669309091119,11.729497058165862
11.443000000000001,7.421329414145664,4.78283637582447,4.455804607238508,5.176403683567893,8.212954361698397,11.515996533570691
11.463000000000001,7.308709595068252,4.658531352540098,4.346870289624056,5.083131569582028,7.9184046242605115,11.304836088222979
11.483,7.195600271867997,4.53416990058921,4.23798344271842,4.9896633569577125,7.626358573040498,11.094088598036533
11.503,7.082745058789445,4.410860630540895,4.129882895064163,4.894430256587304,7.3568456977819165,10.886944246402084
11.523,6.969953373241318,4.287606738487438,4.0220444471579215,4.799185520634764,7.090079360684405,10.680435742747324
