,0,1,2,3,4,5,6,7,8,9,10,11
-14.45,-0.18326679421259000,-0.1879902153791100,-0.1876685203987520,-0.1883821406691980,-0.1808699222955640,-0.18150631910600900,-0.18563160296610000,-0.17553698568414000,-0.19697831601733500,-0.18049113804457100,-0.18643814559612700,-0.18295299128959100
-14.4,-0.18329037624009700,-0.18800538498397100,-0.18767657232095200,-0.18845455018604200,-0.18087538268295300,-0.18151634736266300,-0.18573107291012500,-0.17535383792220100,-0.1969279023084800,-0.1805639595376130,-0.1864666563418110,-0.18298703216330300
-14.35,-0.18331609570218900,-0.18800692732031500,-0.18767075957119800,-0.18853400996317400,-0.1808879961726470,-0.18150945797819600,-0.18580971643782500,-0.17521763840270000,-0.19687473986823100,-0.18062987466122000,-0.18649666734033000,-0.18302358346069700
-14.3,-0.18333614822460200,-0.18800335436510000,-0.18763981336120400,-0.1886155147817,-0.18090607393397800,-0.18147909437359100,-0.18585643084666600,-0.17512644765702800,-0.19681956241629300,-0.18069532873235900,-0.18652226177295900,-0.18306430741822600
-14.25,-0.183343473287221,-0.18800035434359900,-0.18757508292373600,-0.1886820641284500,-0.1809271861589700,-0.1814242253918630,-0.18587243685177100,-0.17507788800707700,-0.19676785052644500,-0.18076198809883100,-0.18653905622585900,-0.18311049033881300
-14.2,-0.18333099812081100,-0.18800095308579700,-0.1874708067073330,-0.18870639866852900,-0.18094804324910000,-0.18135159231669000,-0.1858673957242970,-0.17506774993286400,-0.19672751080637800,-0.18082901154118400,-0.1865451419438880,-0.18316136980260600
-14.15,-0.18329133215827000,-0.1880061719186650,-0.18732441167060000,-0.1886562592577210,-0.18096504092180500,-0.18127569274629100,-0.18585397903761300,-0.17508862285680400,-0.19670646278411900,-0.18089561109512800,-0.1865412041689450,-0.1832128341891150
-14.1,-0.18321756830124000,-0.18801589730505300,-0.18713693947147900,-0.18850272429756100,-0.1809752916065540,-0.18121571758538000,-0.18584348872406800,-0.1751294330022370,-0.19671112459480300,-0.18096275601227800,-0.18652990812678700,-0.1832570860948350
-14.05,-0.18310501943099200,-0.18802964124004500,-0.1869133606044350,-0.18822950861648100,-0.1809776295826790,-0.1811899626857700,-0.1858435626068080,-0.17517664461100000,-0.19674596606454400,-0.18103367031386400,-0.18651484231473100,-0.18328361278662300
-14.0,-0.18295298943941400,-0.18804702183127600,-0.18666244933950700,-0.18783952617532600,-0.18097296462549500,-0.18121001539427200,-0.1858577845609950,-0.17521706561624100,-0.1968135000627010,-0.18111348041851400,-0.18649945279205000,-0.18328139941394000
-13.95,-0.18276545132268600,-0.1880679054835880,-0.18639611482868900,-0.18735542421211800,-0.18096370804522000,-0.18127753031598400,-0.18588646715204600,-0.1752412099603490,-0.19691372019393600,-0.1812085975336650,-0.18648632396418000,-0.18324181048314400
-13.9,-0.18255016241897900,-0.18809220812650800,-0.1861282826288620,-0.18681352649030400,-0.1809526715480960,-0.1813846439809120,-0.18592779599381600,-0.17524607089578900,-0.19704276132946600,-0.18132610141427700,-0.1864769445081170,-0.1831610614097260
-13.85,-0.1823167489735230,-0.18811948289517600,-0.18587333395431600,-0.18625387299606900,-0.18094208968004300,-0.1815169376108850,-0.18597868399824300,-0.17523679596609400,-0.19719164489250900,-0.18147293334680700,-0.18647200264903700,-0.1830412680281520
-13.8,-0.18207483464477500,-0.18814846824646600,-0.18564435617769500,-0.18571082574445700,-0.18093306430251200,-0.18165717937694400,-0.1860351023437790,-0.1752270830830610,-0.19734628007920000,-0.1816546375667910,-0.18647202750948500,-0.18288969772784200
-13.75,-0.18183317757736900,-0.1881767604185910,-0.18545157866654300,-0.1852079075958350,-0.1809254105902810,-0.18178864864827900,-0.18609222763049900,-0.1752375854198810,-0.19748956702809100,-0.18187361827213200,-0.18647772939039300,-0.18271664668140500
